,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
77,0,0,1.6,0,2.4,2019-09-14 14:00:00,Brighton,Aaron Lennon,Burnley,0,5
78,0,0,1.4,0,4.4,2019-09-21 14:00:00,Norwich,Aaron Lennon,Burnley,1,6
79,0,0,0.0,0,0.0,2019-09-28 14:00:00,Aston Villa,Aaron Lennon,Burnley,0,7
80,0,0,0.8,0,0.0,2019-10-05 14:00:00,Everton,Aaron Lennon,Burnley,1,8
81,0,0,2.4,0,0.4,2019-10-19 14:00:00,Leicester,Aaron Lennon,Burnley,1,9
82,0,0,0.0,0,0.0,2019-10-26 16:30:00,Chelsea,Aaron Lennon,Burnley,0,10
83,0,0,0.0,0,0.0,2019-11-02 15:00:00,Sheffield United,Aaron Lennon,Burnley,0,11
84,0,0,0.0,0,0.0,2019-11-09 15:00:00,West Ham,Aaron Lennon,Burnley,0,12
85,0,0,0.0,0,0.0,2019-11-23 15:00:00,Watford,Aaron Lennon,Burnley,0,13
86,0,0,11.6,0,6.4,2019-11-30 15:00:00,Crystal Palace,Aaron Lennon,Burnley,1,14
87,0,0,14.5,0,10.0,2019-12-03 20:15:00,Man City,Aaron Lennon,Burnley,2,15
88,0,0,0.7,0,0.0,2019-12-07 15:00:00,Tottenham,Aaron Lennon,Burnley,1,16
89,0,0,0.0,0,0.0,2019-12-14 15:00:00,Newcastle United,Aaron Lennon,Burnley,0,17
90,0,0,0.6,0,0.4,2019-12-21 15:00:00,Bournemouth,Aaron Lennon,Burnley,1,18
91,0,0,0.0,0,0.0,2019-12-26 15:00:00,Everton,Aaron Lennon,Burnley,0,19
92,0,0,0.0,0,0.0,2019-12-28 19:45:00,Man Utd,Aaron Lennon,Burnley,0,20
93,0,0,0.0,0,0.0,2020-01-01 12:30:00,Aston Villa,Aaron Lennon,Burnley,0,21
94,0,0,0.9,0,11.6,2020-01-11 15:00:00,Chelsea,Aaron Lennon,Burnley,1,22
95,0,0,0.0,0,0.0,2020-01-19 14:00:00,Leicester,Aaron Lennon,Burnley,1,23
96,0,0,0.0,0,0.0,2020-01-22 20:15:00,Man Utd,Aaron Lennon,Burnley,0,24
97,0,0,0.0,0,0.0,2020-02-02 14:00:00,Arsenal,Aaron Lennon,Burnley,0,25
98,0,0,0.0,0,0.0,2020-02-15 12:30:00,Southampton,Aaron Lennon,Burnley,0,26
99,0,0,0.3,0,0.0,2020-02-22 15:00:00,Bournemouth,Aaron Lennon,Burnley,0,27
100,0,0,0.0,0,0.0,2020-02-29 15:00:00,Newcastle United,Aaron Lennon,Burnley,0,28
101,0,0,0.0,0,1.0,2020-03-07 17:30:00,Tottenham,Aaron Lennon,Burnley,1,29
102,0,0,0.0,0,0.0,2020-06-22 19:00:00,Man City,Aaron Lennon,Burnley,0,30
103,0,0,0.0,0,0.0,2020-06-25 17:00:00,Watford,Aaron Lennon,Burnley,0,31
104,0,0,0.0,0,0.0,2020-06-29 19:00:00,Crystal Palace,Aaron Lennon,Burnley,0,32
105,0,0,0.0,0,0.0,2020-07-05 11:00:00,Sheffield United,Aaron Lennon,Burnley,0,33
106,0,0,0.0,0,0.0,2020-07-08 17:00:00,West Ham,Aaron Lennon,Burnley,0,34
107,0,0,0.0,0,0.0,2020-07-11 14:00:00,Liverpool,Aaron Lennon,Burnley,0,35
108,0,0,0.0,0,0.0,2020-07-15 17:00:00,Wolves,Aaron Lennon,Burnley,0,36
109,0,0,0.0,0,0.0,2020-07-18 16:30:00,Norwich,Aaron Lennon,Burnley,0,37
110,0,0,0.0,0,0.0,2020-07-26 15:00:00,Brighton,Aaron Lennon,Burnley,0,38
111,0,0,0.0,0,0.0,2019-08-10 14:00:00,Watford,Aaron Mooy,Brighton,0,1
112,0,0,0.5,0,0.2,2019-08-17 14:00:00,West Ham,Aaron Mooy,Brighton,1,2
113,0,0,0.0,0,0.0,2019-08-24 14:00:00,Southampton,Aaron Mooy,Brighton,0,3
114,0,0,0.0,0,0.0,2019-08-31 14:00:00,Man City,Aaron Mooy,Brighton,0,4
115,0,0,0.9,0,1.4,2019-09-14 14:00:00,Burnley,Aaron Mooy,Brighton,1,5
116,0,1,15.0,0,4.2,2019-09-21 16:30:00,Newcastle United,Aaron Mooy,Brighton,3,6
117,0,0,0.8,0,26.2,2019-09-28 14:00:00,Chelsea,Aaron Mooy,Brighton,2,7
118,0,1,14.9,0,19.0,2019-10-05 11:30:00,Tottenham,Aaron Mooy,Brighton,3,8
119,0,0,1.5,0,0.0,2019-10-19 14:00:00,Aston Villa,Aaron Mooy,Brighton,-2,9
120,0,0,0.0,0,0.0,2019-10-26 14:00:00,Everton,Aaron Mooy,Brighton,0,10
121,0,0,0.0,0,0.0,2019-11-02 15:00:00,Norwich,Aaron Mooy,Brighton,0,11
122,0,0,0.0,0,0.0,2019-11-10 14:00:00,Man Utd,Aaron Mooy,Brighton,0,12
123,0,0,42.3,0,17.0,2019-11-23 15:00:00,Leicester,Aaron Mooy,Brighton,2,13
124,0,0,15.9,0,14.4,2019-11-30 15:00:00,Liverpool,Aaron Mooy,Brighton,2,14
125,1,0,38.1,0,43.4,2019-12-05 20:15:00,Arsenal,Aaron Mooy,Brighton,8,15
126,0,0,4.5,0,5.2,2019-12-08 16:30:00,Wolves,Aaron Mooy,Brighton,2,16
127,0,0,21.0,0,6.4,2019-12-16 19:45:00,Crystal Palace,Aaron Mooy,Brighton,2,17
128,0,0,32.8,0,18.4,2019-12-21 15:00:00,Sheffield United,Aaron Mooy,Brighton,2,18
129,0,0,13.3,0,9.6,2019-12-26 12:30:00,Tottenham,Aaron Mooy,Brighton,2,19
130,0,1,68.3,1,51.4,2019-12-28 12:30:00,Bournemouth,Aaron Mooy,Brighton,11,20
131,0,0,31.3,0,15.6,2020-01-01 12:30:00,Chelsea,Aaron Mooy,Brighton,2,21
132,0,0,0.0,0,0.0,2020-01-11 15:00:00,Everton,Aaron Mooy,Brighton,0,22
133,0,0,5.7,0,3.0,2020-01-18 15:00:00,Aston Villa,Aaron Mooy,Brighton,2,23
134,0,0,68.8,1,55.0,2020-01-21 19:30:00,Bournemouth,Aaron Mooy,Brighton,10,24
135,0,0,3.1,0,2.6,2020-02-01 15:00:00,West Ham,Aaron Mooy,Brighton,2,25
136,0,0,20.6,0,11.4,2020-02-08 17:30:00,Watford,Aaron Mooy,Brighton,2,26
137,0,0,41.9,0,13.0,2020-02-22 15:00:00,Sheffield United,Aaron Mooy,Brighton,2,27
138,0,0,51.3,0,17.8,2020-02-29 12:30:00,Crystal Palace,Aaron Mooy,Brighton,2,28
139,0,1,17.8,0,19.6,2020-03-07 15:00:00,Wolves,Aaron Mooy,Brighton,3,29
140,0,0,5.0,0,7.0,2020-06-20 14:00:00,Arsenal,Aaron Mooy,Brighton,0,30
141,0,1,16.8,0,15.0,2020-06-23 17:00:00,Leicester,Aaron Mooy,Brighton,3,31
142,0,0,0.3,0,0.0,2020-06-30 19:15:00,Man Utd,Aaron Mooy,Brighton,1,32
143,1,1,44.3,0,34.8,2020-07-04 11:30:00,Norwich,Aaron Mooy,Brighton,6,33
144,0,0,15.0,0,5.6,2020-07-08 19:15:00,Liverpool,Aaron Mooy,Brighton,1,34
145,0,0,2.5,0,5.8,2020-07-11 19:00:00,Man City,Aaron Mooy,Brighton,2,35
146,0,0,1.1,0,4.8,2020-07-16 19:15:00,Southampton,Aaron Mooy,Brighton,1,36
147,0,0,8.2,0,8.8,2020-07-20 17:00:00,Newcastle United,Aaron Mooy,Brighton,1,37
148,0,0,11.4,0,0.0,2020-07-26 15:00:00,Burnley,Aaron Mooy,Brighton,1,38
149,0,0,0.0,0,9.8,2019-08-10 14:00:00,Sheffield United,Aaron Ramsdale,Bournemouth,2,1
150,0,0,0.0,0,39.8,2019-08-17 14:00:00,Aston Villa,Aaron Ramsdale,Bournemouth,4,2
151,0,0,0.0,0,19.0,2019-08-25 13:00:00,Man City,Aaron Ramsdale,Bournemouth,1,3
152,0,0,0.0,0,13.0,2019-08-31 14:00:00,Leicester,Aaron Ramsdale,Bournemouth,1,4
153,0,0,0.0,0,33.6,2019-09-15 13:00:00,Everton,Aaron Ramsdale,Bournemouth,3,5
154,1,0,10.0,0,56.0,2019-09-20 19:00:00,Southampton,Aaron Ramsdale,Bournemouth,10,6
155,0,0,0.0,0,30.2,2019-09-28 14:00:00,West Ham,Aaron Ramsdale,Bournemouth,2,7
156,0,0,0.0,0,10.6,2019-10-06 13:00:00,Arsenal,Aaron Ramsdale,Bournemouth,2,8
157,0,1,0.0,0,7.8,2019-10-19 14:00:00,Norwich,Aaron Ramsdale,Bournemouth,6,9
158,0,1,0.0,0,22.0,2019-10-26 14:00:00,Watford,Aaron Ramsdale,Bournemouth,8,10
159,0,1,0.0,0,19.6,2019-11-02 12:30:00,Man Utd,Aaron Ramsdale,Bournemouth,9,11
160,0,0,0.0,0,44.2,2019-11-09 15:00:00,Newcastle United,Aaron Ramsdale,Bournemouth,4,12
161,0,0,0.0,0,36.4,2019-11-23 15:00:00,Wolves,Aaron Ramsdale,Bournemouth,2,13
162,0,0,0.0,0,19.2,2019-11-30 15:00:00,Tottenham,Aaron Ramsdale,Bournemouth,1,14
163,0,0,0.0,0,6.4,2019-12-03 19:30:00,Crystal Palace,Aaron Ramsdale,Bournemouth,2,15
